Account, Point of Sale,   Business Type,   Product,201701,201702,201703,201704,201705,201706,201707,201708,201709,201710,201711,201712
Revenue % of GB,Expedia HK,Merchant,Tshop,15.583519%,16.609887%,16.215895%,16.030526%,15.777181%,15.490166%,15.292106%,15.075978%,14.889230%,14.760778%,14.649659%,14.613987%
GP % of GB,Expedia HK,Merchant,Tshop,13.237579%,14.263947%,13.869955%,13.684587%,13.431241%,13.144227%,12.946167%,12.730039%,12.543291%,12.414839%,12.303719%,12.268047%
Revenue % of GB,Expedia HK,Not Applicable,Insurance,45.000355%,45.000363%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%
Revenue % of GB,Expedia HK,Merchant,Insurance,45.000355%,45.000363%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%,45.000298%
GP % of GB,Expedia HK,Not Applicable,Insurance,42.654415%,42.654424%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%
GP % of GB,Expedia HK,Merchant,Insurance,42.654415%,42.654424%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%,42.654358%
Revenue % of GB,Expedia TW,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Agency,Flight,4.256840%,3.771025%,4.994366%,4.967626%,5.104494%,4.995243%,4.283756%,4.430191%,4.062561%,4.207491%,4.016411%,4.180045%
GP % of GB,Expedia TW,Agency,Flight,-0.489056%,-0.974871%,0.248470%,0.221730%,0.358598%,0.249347%,-0.462140%,-0.315705%,-0.683335%,-0.538405%,-0.729485%,-0.565852%
Revenue % of GB,Expedia TW,Merchant,Flight,1.557399%,3.033306%,3.631747%,4.192973%,4.502976%,3.960866%,3.920937%,3.832603%,3.783977%,4.257667%,3.966243%,4.108657%
GP % of GB,Expedia TW,Merchant,Flight,-24.174771%,-22.698864%,-22.100423%,-21.539197%,-21.229194%,-21.771303%,-21.811233%,-21.899566%,-21.948193%,-21.474502%,-21.765927%,-21.623513%
Revenue % of GB,Expedia TW,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Agency,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Merchant,Hotel,12.201262%,12.309898%,12.129867%,12.521939%,12.502673%,12.469329%,12.403178%,12.327258%,12.324528%,12.272819%,12.212516%,12.155653%
GP % of GB,Expedia TW,Merchant,Hotel,9.585815%,9.694451%,9.514420%,9.906492%,9.887226%,9.853882%,9.787732%,9.711812%,9.709081%,9.657372%,9.597069%,9.540206%
Revenue % of GB,Expedia TW,Agency,Hotel,14.489732%,12.321308%,13.867140%,13.763071%,13.789089%,13.700357%,13.577831%,13.369776%,13.448685%,13.260397%,13.225604%,13.514497%
GP % of GB,Expedia TW,Agency,Hotel,13.997403%,11.828979%,13.374811%,13.270742%,13.296760%,13.208028%,13.085502%,12.877447%,12.956356%,12.768068%,12.733275%,13.022168%
Revenue % of GB,Expedia TW,Not Applicable,EPackage,5.190902%,5.733866%,6.570276%,6.654267%,6.698881%,6.414618%,6.398249%,6.450918%,6.417533%,6.365742%,6.139837%,6.048968%
GP % of GB,Expedia TW,Not Applicable,EPackage,1.675480%,2.218444%,3.054854%,3.138846%,3.183459%,2.899196%,2.882827%,2.935496%,2.902111%,2.850320%,2.624415%,2.533546%
Revenue % of GB,Expedia TW,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Merchant,Tshop,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia TW,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia TW,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia MX,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia MX,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia MX,Agency,Flight,4.013022%,2.798370%,3.065437%,3.031707%,3.037546%,2.978785%,2.979144%,3.050401%,3.003720%,3.025322%,3.016334%,2.991001%
GP % of GB,Expedia MX,Agency,Flight,2.074824%,0.734338%,1.584989%,1.027749%,1.170719%,1.173135%,1.041270%,1.266210%,1.151177%,1.188315%,1.116131%,0.770460%
Revenue % of GB,Expedia MX,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia MX,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia MX,Agency,Car,11.996591%,8.183746%,7.735744%,8.465744%,10.405744%,8.665744%,6.015744%,9.275744%,12.645744%,9.725744%,9.895744%,5.645744%
GP % of GB,Expedia MX,Agency,Car,8.420593%,6.879928%,4.980207%,5.768157%,8.071156%,6.652114%,4.293287%,7.205605%,10.321860%,7.579066%,8.024291%,4.443712%
Revenue % of GB,Expedia MX,Merchant,Car,17.796300%,17.517988%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%,17.593918%
GP % of GB,Expedia MX,Merchant,Car,12.865478%,12.222136%,12.597839%,12.253888%,12.782677%,13.362121%,13.013159%,12.791847%,12.340746%,12.684826%,12.937085%,12.436276%
Revenue % of GB,Expedia MX,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia MX,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia MX,Merchant,Hotel,17.477082%,17.544185%,17.651171%,17.535348%,17.443198%,17.410897%,17.580787%,17.535777%,17.374884%,17.386513%,17.444893%,17.411227%
GP % of GB,Expedia MX,Merchant,Hotel,13.992968%,13.201053%,14.006922%,13.098484%,13.435215%,13.660549%,13.398027%,13.591839%,12.811170%,13.144964%,13.257915%,12.101787%
Revenue % of GB,Expedia MX,Agency,Hotel,11.840138%,12.226466%,16.994522%,16.884446%,16.864506%,16.974584%,16.844561%,16.934486%,16.854476%,16.714534%,16.684514%,16.594487%
GP % of GB,Expedia MX,Agency,Hotel,9.916319%,10.496535%,14.982519%,14.469898%,14.855032%,15.085132%,14.722973%,15.193825%,14.894966%,14.635294%,14.449909%,13.804001%
Revenue % of GB,Expedia MX,Not Applicable,EPackage,9.921482%,9.643942%,8.787186%,8.840411%,8.763140%,8.376834%,8.469177%,8.372283%,8.230641%,8.107235%,7.991265%,7.660330%
GP % of GB,Expedia MX,Not Applicable,EPackage,7.234648%,6.395775%,6.122108%,5.748991%,5.965765%,5.832774%,5.483364%,5.457506%,4.990721%,5.185726%,5.036786%,3.989474%
Revenue % of GB,Expedia MX,Merchant,Tshop,21.552718%,20.311556%,20.062371%,20.287792%,20.520008%,20.046805%,19.585091%,19.378604%,19.377745%,19.342083%,19.109057%,19.113848%
GP % of GB,Expedia MX,Merchant,Tshop,13.673858%,13.164501%,14.852143%,13.807304%,14.754696%,14.747641%,13.411546%,13.501065%,12.612757%,11.598920%,11.510498%,10.445759%
Revenue % of GB,Expedia MX,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia MX,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia MX,Not Applicable,Insurance,-1581.494453%,-571.873691%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia MX,Merchant,Insurance,-1581.494453%,-571.873691%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Agency,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Agency,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Agency,Car,4.284167%,6.815120%,5.399770%,5.519770%,5.289770%,5.189770%,5.199770%,5.239770%,5.249770%,5.239770%,5.239770%,5.239770%
GP % of GB,Expedia AR,Agency,Car,3.286626%,5.694768%,4.158152%,4.352821%,4.142042%,4.077226%,4.186745%,3.985657%,3.751668%,3.917909%,3.903455%,4.182257%
Revenue % of GB,Expedia AR,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Merchant,Car,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Merchant,Hotel,18.193645%,18.298235%,18.429448%,18.263774%,18.356436%,18.059186%,18.041621%,18.117270%,18.261736%,18.116012%,18.121586%,17.953283%
GP % of GB,Expedia AR,Merchant,Hotel,14.269181%,14.320628%,14.851781%,14.473941%,14.828419%,14.181575%,13.938516%,14.170911%,14.606449%,14.013603%,14.069746%,13.730234%
Revenue % of GB,Expedia AR,Agency,Hotel,19.580979%,17.221098%,16.331771%,16.321771%,16.371771%,16.101771%,15.881771%,16.171771%,16.031771%,15.611771%,15.501771%,15.531771%
GP % of GB,Expedia AR,Agency,Hotel,17.850556%,15.644766%,14.767604%,14.044368%,15.005889%,14.300220%,13.672777%,14.466786%,14.621695%,13.985749%,13.907158%,13.684789%
Revenue % of GB,Expedia AR,Not Applicable,EPackage,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Not Applicable,EPackage,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Merchant,Tshop,20.803104%,20.532542%,20.006634%,20.627280%,21.191671%,19.946401%,18.913855%,17.440831%,18.617757%,19.117131%,18.549759%,18.315105%
GP % of GB,Expedia AR,Merchant,Tshop,15.503175%,15.089286%,15.120897%,14.669617%,15.504002%,14.257930%,13.371194%,11.984565%,12.795231%,12.192864%,12.437836%,12.850320%
Revenue % of GB,Expedia AR,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia AR,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia AR,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia BR,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia BR,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia BR,Agency,Flight,3.504555%,3.337555%,3.543015%,3.596392%,3.579325%,3.623144%,3.695263%,3.745354%,3.714179%,3.497285%,3.553612%,3.651017%
GP % of GB,Expedia BR,Agency,Flight,0.212068%,-0.242159%,0.383575%,-0.198867%,0.085234%,0.055258%,-0.215761%,-0.626874%,-0.818028%,-0.215852%,-0.504499%,-1.061039%
Revenue % of GB,Expedia BR,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia BR,Merchant,Flight,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia BR,Agency,Car,4.949360%,5.481634%,7.499839%,5.529839%,6.019839%,5.659839%,5.189839%,5.179839%,6.599839%,6.739839%,7.559839%,5.629839%
GP % of GB,Expedia BR,Agency,Car,3.923495%,4.578435%,6.456837%,3.982498%,4.810428%,4.664032%,4.171050%,4.058566%,5.227144%,5.522115%,6.431040%,4.534691%
Revenue % of GB,Expedia BR,Merchant,Car,12.720448%,11.470111%,8.204755%,12.762755%,12.563755%,12.349755%,12.349755%,12.026755%,12.552755%,12.675755%,12.649755%,12.552755%
GP % of GB,Expedia BR,Merchant,Car,8.459906%,8.540097%,5.798559%,9.232571%,9.144340%,9.336507%,8.324646%,9.080964%,9.639375%,10.330176%,9.687352%,9.792974%
Revenue % of GB,Expedia BR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia BR,Agency,Cruise,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia BR,Merchant,Hotel,17.275620%,17.020085%,17.084101%,17.064309%,17.025527%,16.961443%,16.929715%,16.853244%,16.881421%,16.865525%,16.823819%,16.813668%
GP % of GB,Expedia BR,Merchant,Hotel,13.358622%,13.993904%,14.374049%,13.366901%,13.517732%,13.667771%,12.786911%,13.562744%,13.711845%,14.343524%,13.466127%,13.611132%
Revenue % of GB,Expedia BR,Agency,Hotel,17.854241%,13.261623%,15.218690%,15.188690%,15.318690%,15.078690%,14.938690%,14.908690%,14.918690%,14.758690%,14.728690%,14.698690%
GP % of GB,Expedia BR,Agency,Hotel,15.872677%,11.416011%,13.443553%,12.931816%,13.360855%,13.195421%,12.981025%,13.105635%,12.998239%,12.636296%,12.740110%,11.882590%
Revenue % of GB,Expedia BR,Not Applicable,EPackage,6.688501%,6.802364%,7.306529%,6.827769%,6.825202%,6.680925%,6.243439%,6.060877%,5.174119%,5.192982%,4.977353%,4.929599%
GP % of GB,Expedia BR,Not Applicable,EPackage,1.975153%,1.960568%,2.295658%,1.729067%,1.731338%,1.969577%,0.965560%,1.347410%,0.590997%,0.885785%,0.423824%,0.148578%
Revenue % of GB,Expedia BR,Merchant,Tshop,12.403246%,9.804528%,10.270218%,10.296378%,10.235188%,9.684723%,9.665980%,9.633525%,9.912430%,9.556615%,9.309302%,9.549557%
GP % of GB,Expedia BR,Merchant,Tshop,5.245033%,4.291112%,5.769192%,4.667953%,5.030133%,4.880527%,3.567383%,4.583834%,4.673723%,4.601807%,3.780638%,4.146881%
Revenue % of GB,Expedia BR,Not Applicable,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Expedia BR,Merchant,Insurance,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia BR,Not Applicable,Insurance,0.000000%,-283.225351%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Expedia BR,Merchant,Insurance,0.000000%,-283.225351%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Orbitz COM,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Orbitz COM,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Orbitz COM,Agency,Flight,2.095849%,2.050549%,1.922022%,2.025616%,2.006660%,2.010502%,1.992632%,1.993761%,2.047391%,2.046512%,2.046776%,2.030039%
GP % of GB,Orbitz COM,Agency,Flight,1.474308%,1.350767%,1.351239%,1.397359%,1.392273%,1.370699%,1.360801%,1.339912%,1.392476%,1.419297%,1.414368%,1.297179%
Revenue % of GB,Orbitz COM,Merchant,Flight,5.955537%,2.475732%,9.482138%,8.772535%,9.104086%,9.129941%,8.117593%,8.012964%,8.052142%,8.131938%,8.184783%,8.212079%
GP % of GB,Orbitz COM,Merchant,Flight,3.601081%,0.074926%,6.686016%,5.890602%,6.269403%,6.099562%,5.080295%,4.910221%,5.010769%,5.170176%,5.274263%,4.897914%
Revenue % of GB,Orbitz COM,Agency,Car,12.500146%,14.985638%,15.077148%,15.107148%,15.097148%,15.067148%,14.947148%,14.927148%,14.927148%,15.047148%,15.037148%,14.127148%
GP % of GB,Orbitz COM,Agency,Car,12.036148%,14.476994%,14.691428%,14.696554%,14.733518%,14.707286%,14.600350%,14.526825%,14.504525%,14.628893%,14.619643%,13.692479%
Revenue % of GB,Orbitz COM,Merchant,Car,30.251850%,30.130750%,30.500390%,30.260390%,30.260390%,30.300390%,30.400390%,30.390390%,30.270390%,30.300390%,30.260390%,30.390390%
GP % of GB,Orbitz COM,Merchant,Car,27.905194%,27.724480%,27.940475%,27.550561%,27.631652%,27.510372%,27.572958%,27.516462%,27.373469%,27.444409%,27.499346%,27.297697%
Revenue % of GB,Orbitz COM,Agency,Cruise,3.249455%,3.249455%,8.899791%,8.915135%,8.706803%,9.088011%,9.230002%,10.156855%,10.580864%,11.383579%,12.590135%,14.187299%
GP % of GB,Orbitz COM,Agency,Cruise,3.249455%,3.249455%,8.899791%,8.915135%,8.706803%,9.088011%,7.757641%,5.839997%,2.853872%,5.530633%,4.019283%,4.515783%
Revenue % of GB,Orbitz COM,Merchant,Hotel,16.158693%,16.364837%,16.206427%,15.997582%,15.915709%,15.820620%,15.712512%,15.723823%,15.716958%,15.659929%,15.660961%,15.682141%
GP % of GB,Orbitz COM,Merchant,Hotel,13.877173%,13.903180%,13.828237%,13.557180%,13.659097%,13.488987%,13.393289%,13.410494%,13.239763%,13.298553%,13.200794%,12.807611%
Revenue % of GB,Orbitz COM,Agency,Hotel,9.196213%,12.183811%,16.931629%,16.741466%,16.661543%,16.561336%,16.441341%,16.391497%,16.291711%,16.212087%,16.222262%,16.231827%
GP % of GB,Orbitz COM,Agency,Hotel,8.334448%,11.128126%,16.071472%,15.847708%,15.814578%,15.690385%,15.613012%,15.605273%,15.350475%,15.311328%,15.336034%,15.253948%
Revenue % of GB,Orbitz COM,Not Applicable,EPackage,10.128311%,10.142016%,9.692825%,9.490460%,9.461255%,9.334930%,9.064815%,8.775169%,8.737616%,8.869095%,9.111582%,9.300413%
GP % of GB,Orbitz COM,Not Applicable,EPackage,8.294853%,8.195229%,7.643817%,7.326382%,7.320021%,7.125493%,6.885730%,6.636600%,6.581271%,6.695832%,6.851670%,6.680721%
Revenue % of GB,Orbitz COM,Merchant,Tshop,24.649846%,22.578234%,22.472460%,21.885883%,21.388353%,20.755926%,20.327300%,20.305632%,20.454116%,20.573661%,20.443766%,21.574440%
GP % of GB,Orbitz COM,Merchant,Tshop,17.244141%,15.384613%,16.027783%,15.636205%,15.445595%,14.865707%,14.734502%,14.696763%,14.392045%,12.969081%,13.602072%,14.036905%
Revenue % of GB,Orbitz COM,Not Applicable,Insurance,68.582723%,69.056506%,70.401217%,69.649779%,69.993675%,69.888751%,70.176321%,69.308890%,68.595527%,68.617637%,68.886853%,68.786172%
Revenue % of GB,Orbitz COM,Merchant,Insurance,68.582723%,69.056506%,70.401217%,69.649779%,69.993675%,69.888751%,70.176321%,69.308890%,68.595527%,68.617637%,68.886853%,68.786172%
GP % of GB,Orbitz COM,Not Applicable,Insurance,66.224568%,66.613961%,67.794875%,66.875409%,67.279689%,66.986734%,67.235554%,66.383177%,65.677105%,65.751868%,66.106498%,65.647323%
GP % of GB,Orbitz COM,Merchant,Insurance,66.224568%,66.613961%,67.794875%,66.875409%,67.279689%,66.986734%,67.235554%,66.383177%,65.677105%,65.751868%,66.106498%,65.647323%
Revenue % of GB,Cheaptickets COM,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
GP % of GB,Cheaptickets COM,Not Applicable,3P Package,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%,0.000000%
Revenue % of GB,Cheaptickets COM,Agency,Flight,4.501470%,4.129077%,3.989374%,4.092863%,4.066238%,4.068594%,4.242179%,4.413780%,4.368133%,4.308457%,4.236541%,4.327137%
GP % of GB,Cheaptickets COM,Agency,Flight,3.664637%,3.161536%,3.315136%,3.332727%,3.328082%,3.301561%,3.485309%,3.563238%,3.514403%,3.471986%,3.377611%,3.317219%
Revenue % of GB,Cheaptickets COM,Merchant,Flight,16.459088%,12.154545%,12.555885%,12.960939%,12.604204%,12.692513%,13.020996%,12.858691%,12.916236%,13.062655%,13.137710%,13.189231%
GP % of GB,Cheaptickets COM,Merchant,Flight,13.553806%,8.844646%,9.527909%,9.747651%,9.340744%,9.339559%,9.534117%,9.218129%,9.341697%,9.607129%,9.662823%,9.352405%
Revenue % of GB,Cheaptickets COM,Agency,Car,13.135893%,14.465292%,14.948421%,14.908421%,14.948421%,14.918421%,14.778421%,14.698421%,14.728421%,14.798421%,14.818421%,13.868421%
GP % of GB,Cheaptickets COM,Agency,Car,11.803174%,13.055097%,13.890793%,13.828192%,13.990418%,13.931845%,13.889736%,13.685046%,13.673823%,13.723183%,13.686516%,12.653579%
Revenue % of GB,Cheaptickets COM,Merchant,Car,31.497493%,31.584062%,31.752284%,31.502284%,31.522284%,31.502284%,31.592284%,31.582284%,31.492284%,31.492284%,31.452284%,31.572284%
GP % of GB,Cheaptickets COM,Merchant,Car,28.461770%,28.297657%,28.693060%,28.324819%,28.335323%,28.238384%,28.129997%,27.924997%,27.827882%,27.876435%,27.876462%,27.746191%
Revenue % of GB,Cheaptickets COM,Agency,Cruise,-0.131555%,-0.131555%,5.518781%,5.534125%,5.325793%,5.707001%,5.848992%,6.775845%,7.199854%,8.002569%,9.209125%,10.806289%
GP % of GB,Cheaptickets COM,Agency,Cruise,-0.131555%,-0.131555%,5.518781%,5.534125%,5.325793%,5.707001%,3.196111%,-0.143580%,-7.794564%,-0.546641%,0.796616%,-1.038904%
Revenue % of GB,Cheaptickets COM,Merchant,Hotel,11.332663%,12.341390%,12.136026%,11.615586%,11.582102%,11.537677%,11.456956%,11.372264%,11.317601%,11.261699%,11.197030%,11.162547%
GP % of GB,Cheaptickets COM,Merchant,Hotel,8.742246%,9.376195%,9.501911%,8.739641%,8.916823%,8.852796%,8.745123%,8.657964%,8.458177%,8.430659%,8.276185%,7.975417%
Revenue % of GB,Cheaptickets COM,Agency,Hotel,7.978944%,9.741072%,16.684472%,16.594529%,16.544299%,16.494610%,16.414460%,16.363769%,16.352025%,16.342517%,16.351765%,16.310635%
GP % of GB,Cheaptickets COM,Agency,Hotel,6.933190%,8.577221%,15.744550%,15.521522%,15.582127%,15.462763%,15.520478%,15.393710%,15.190552%,15.162111%,15.162258%,15.025917%
Revenue % of GB,Cheaptickets COM,Not Applicable,EPackage,9.969193%,9.648548%,8.909430%,8.877282%,8.889150%,8.907605%,8.671318%,8.401163%,8.267424%,8.489480%,8.540998%,8.618982%
